Dans ce fichier, on fixe la taille de la grille et on varie le taux de remplissage dans chaque tableau


-------------------------------------------------------------------------------
Taille de la grille : 10 x 10

Taux de remplissage initial     Temps d'execution du cplex      Solution trouvée                
                     94.0 %                     0.006121 s                  true
                     87.0 %                    0.0050316 s                  true
                     80.0 %                    0.0063145 s                  true
                     74.0 %                    0.0057078 s                  true
                     67.0 %                    0.0061841 s                  true
                     60.0 %                    0.0071795 s                  true
                     54.0 %                     0.007985 s                  true
                     47.0 %                    0.0065429 s                  true
                     40.0 %                    0.0078642 s                  true
                     34.0 %                    0.0100296 s                  true
                     27.0 %                    0.0091295 s                  true
                     20.0 %                    0.0090217 s                  true
                     14.0 %                    0.0095588 s                  true
                      7.0 %                      0.00882 s                  true
                      0.0 %                    0.0139008 s                  true


-------------------------------------------------------------------------------
Taille de la grille : 50 x 50

Taux de remplissage initial     Temps d'execution du cplex      Solution trouvée                
                     93.4 %                    0.0480304 s                  true
                     86.7 %                    0.0395819 s                  true
                     80.0 %                    0.0495122 s                  true
                     73.4 %                    0.0455737 s                  true
                     66.7 %                    0.0485715 s                  true
                     60.0 %                    0.0493016 s                  true
                     53.4 %                    0.0574589 s                  true
                     46.7 %                    0.0741744 s                  true
                     40.0 %                     0.103253 s                  true
                     33.4 %                    0.1212918 s                  true
                     26.7 %                    0.1407606 s                  true
                     20.0 %                    0.1430593 s                  true
                     13.4 %                    0.1507434 s                  true
                      6.7 %                    0.1650029 s                  true
                      0.0 %                    0.0573748 s                  true


-------------------------------------------------------------------------------
Taille de la grille : 90 x 90

Taux de remplissage initial     Temps d'execution du cplex      Solution trouvée                
                     93.3 %                    0.1565217 s                  true
                     86.7 %                    0.1735169 s                  true
                     80.0 %                    0.1554702 s                  true
                     73.3 %                    0.1729647 s                  true
                     66.7 %                    0.1621545 s                  true
                     60.0 %                    0.1926847 s                  true
                     53.3 %                    0.3778265 s                  true
                     46.7 %                    0.2476528 s                  true
                     40.0 %                     0.305166 s                  true
                     33.3 %                    0.4171287 s                  true
                     26.7 %                    0.4519534 s                  true
                     20.0 %                    0.5122561 s                  true
                     13.3 %                    0.5433394 s                  true
                      6.7 %                    0.6239567 s                  true
                      0.0 %                    0.1880831 s                  true


